코드	계정명	2023-03-31/1st Quarter	2023-06-30/Semi Annual	2023-09-30/3rd Quarter	2023-12-31/Annual	2024-03-31/1st Quarter	2024-06-30/Semi Annual	2024-09-30/3rd Quarter	2024-12-31/Annual	2025-03-31/1st Quarter	2025-06-30/Semi Annual	2025-09-30/3rd Quarter	2025-12-31/Annual	2026-03-31/1st Quarter
121000	수익	47108205000	124046028000	220819259000	313548275000	106226679000	222305020000	361454259000	471467953000	121947999000	279629879000	466299718000	653447659000	156181531000
121100	   총수익	47108205000	124046028000	220819259000	313548275000	106226679000	222305020000	361454259000	471467953000	121947999000	279629879000	466299718000	653447659000	156181531000
121190	      [국내]	47108205000	124046028000	220819259000	313548275000	106226679000	222305020000	361454259000	471467953000	121947999000	279629879000	466299718000	653447659000	156181531000
121195	      [수출]													
121198	      [구분불명]													
121110	      상품판매로인한수익	964000000	2309000000	3821000000	5029000000	882000000	1877000000	3182000000	4096000000	670000000	1374000000	2333000000	2751000000	392000000
121111	         국내	964000000	2309000000	3821000000	5029000000	882000000	1877000000	3182000000	4096000000	670000000	1374000000	2333000000	2751000000	392000000
121112	         수출													
121118	         구분불명													
121120	      제품판매로인한수익	46144205000	121737028000	216998259000	308519275000	105344679000	220428020000	358272259000	467371953000	121277999000	278255879000	463966718000	650696659000	155789531000
121121	         국내	46144205000	121737028000	216998259000	308519275000	105344679000	220428020000	358272259000	467371953000	121277999000	278255879000	463966718000	650696659000	155789531000
121122	         수출													
121128	         구분불명													
121140	      [공사수익]													
121150	      [분양수익]													
121160	      [임대수익]				25000000				28000000		1000000	1000000	1000000	
121170	      [용역수익]				38000000									
121171	      [지분법이익]													
121172	      [배당수익]													
121173	      [로열티수입]													
121174	      [이자수익]													
121175	      [수수료수익]													
121176	      [제품판매로인한수익]													
121180	      [기타수익]	46144205000	121737028000	216998259000	308456275000	105344679000	220428020000	358272259000	467343953000	121277999000	278254879000	463965718000	650695659000	155789531000
121500	      상품제품판매로인한수익													
121501	         국내													
121502	         수출													
121503	         구분불명													
121130	      기타수익													
121131	         국내													
121132	         수출													
121138	         구분불명													
121200	   매출에누리와환입													
121300	   판매장려금등													
121400	   매출할인													
121450	   반품추정수익													
121451	   특정매입원가													
121452	   기타수익조정													
